country,year,iso_code,population,co2,co2_per_capita,co2_growth_prct,cumulative_co2,ghg_excluding_lucf_per_capita,temperature_change_from_ghg,temperature_change_from_co2,methane,nitrous_oxide,primary_energy_consumption
World,1995,,5758878977.0,23516.639,4.084,2.359,922058.125,4.78,1.067,0.734,7426.246,2342.963,101315.359
World,1996,,5842055730.0,24233.477,4.148,3.048,946291.562,4.845,1.084,0.748,7512.808,2393.537,104245.836
World,1997,,5924787819.0,24380.322,4.115,0.606,970671.938,4.796,1.102,0.762,7485.23,2350.142,105269.266
World,1998,,6007066691.0,24295.713,4.045,-0.347,994967.625,4.694,1.119,0.776,7419.233,2378.566,105852.398
World,1999,,6089006328.0,24837.771,4.079,2.231,1019805.375,4.712,1.136,0.79,7436.038,2398.701,107613.984
World,2000,,6171702992.0,25511.482,4.134,2.712,1045316.812,4.773,1.154,0.804,7544.741,2390.251,110416.398
World,2001,,6254936464.0,25692.994,4.108,0.711,1071009.875,4.735,1.171,0.817,7523.762,2385.423,111493.289
World,2002,,6337730343.0,26265.332,4.144,2.228,1097275.125,4.747,1.189,0.831,7480.677,2402.932,113894.43
World,2003,,6420361633.0,27652.691,4.307,5.282,1124927.875,4.929,1.208,0.847,7668.747,2419.463,117849.602
World,2004,,6503377774.0,28610.023,4.399,3.462,1153537.875,5.018,1.228,0.862,7809.036,2487.873,123841.742
World,2005,,6586970132.0,29598.951,4.494,3.457,1183136.875,5.114,1.248,0.878,7929.648,2510.292,127936.719
World,2006,,6671452019.0,30594.152,4.586,3.362,1213731.0,5.207,1.268,0.894,8057.693,2546.306,131481.203
World,2007,,6757308776.0,31499.256,4.662,2.958,1245230.25,5.272,1.288,0.91,8108.338,2612.956,135617.984
World,2008,,6844457659.0,32049.66,4.683,1.747,1277279.875,5.288,1.309,0.927,8177.437,2582.949,137229.406
World,2009,,6932766416.0,31513.014,4.546,-1.674,1308793.0,5.138,1.33,0.943,8124.256,2552.738,135033.219
World,2010,,7021732143.0,33317.672,4.745,5.727,1342110.5,5.341,1.351,0.961,8257.109,2617.387,141602.047
World,2011,,7110923773.0,34479.988,4.849,3.489,1376590.625,5.461,1.374,0.979,8498.255,2703.093,144913.297
World,2012,,7201202478.0,34954.734,4.854,1.377,1411545.25,5.468,1.397,0.997,8568.392,2717.485,147002.422
World,2013,,7291793585.0,35275.82,4.838,0.919,1446821.125,5.441,1.42,1.015,8520.598,2700.372,149599.734
World,2014,,7381616239.0,35465.695,4.805,0.538,1482286.875,5.408,1.443,1.033,8601.788,2733.968,151239.172
World,2015,,7470491876.0,35403.527,4.739,-0.175,1517690.375,5.331,1.466,1.052,8616.349,2741.356,152357.625
World,2016,,7558554527.0,35392.832,4.682,-0.03,1553083.125,5.267,1.488,1.07,8652.835,2759.229,154221.484
World,2017,,7645617952.0,35974.609,4.705,1.644,1589057.75,5.294,1.511,1.088,8797.017,2814.724,157625.312
World,2018,,7729902779.0,36734.004,4.752,2.111,1625791.75,5.351,1.534,1.106,8935.43,2814.039,161806.125
World,2019,,7811293699.0,37086.566,4.748,0.96,1662878.375,5.351,1.558,1.124,9008.441,2819.104,163694.609
World,2020,,7887001289.0,35158.23,4.458,-5.2,1698036.625,5.083,1.581,1.142,8903.343,2852.967,157993.891
World,2021,,7954448387.0,36866.863,4.635,4.86,1734903.5,5.273,1.605,1.16,9089.303,2895.432,166043.5
World,2022,,8021407196.0,37527.773,4.678,1.793,1772431.25,5.322,1.629,1.179,9278.556,2881.229,169061.531
World,2023,,8091734933.0,38094.039,4.708,1.509,1810525.375,5.348,1.654,1.197,9416.93,2911.154,172238.781
World,2024,,8161972574.0,38598.578,4.729,1.324,1849123.875,5.356,1.678,1.216,9498.914,2935.779,176737.094
