country,year,iso_code,population,co2,co2_per_capita,co2_growth_prct,cumulative_co2,ghg_excluding_lucf_per_capita,temperature_change_from_ghg,temperature_change_from_co2,methane,nitrous_oxide,primary_energy_consumption
Colombia,1960,COL,15606209.0,16.39,1.05,1.888,209.318,1.705,0.008,0.007,36.207,8.553,
Colombia,1961,COL,16095207.0,18.196,1.131,11.017,227.515,1.799,0.008,0.007,38.075,9.145,
Colombia,1962,COL,16599031.0,19.419,1.17,6.722,246.934,1.833,0.008,0.007,39.124,9.43,
Colombia,1963,COL,17113824.0,21.233,1.241,9.337,268.167,1.906,0.008,0.007,39.755,9.591,
Colombia,1964,COL,17637416.0,21.683,1.229,2.12,289.85,1.871,0.009,0.007,40.422,9.871,
Colombia,1965,COL,18169053.0,22.859,1.258,5.423,312.709,1.877,0.009,0.007,41.262,10.025,97.673
Colombia,1966,COL,18702693.0,23.474,1.255,2.692,336.183,1.858,0.009,0.007,41.902,10.245,109.927
Colombia,1967,COL,19235624.0,24.687,1.283,5.166,360.87,1.874,0.009,0.007,42.794,10.651,115.861
Colombia,1968,COL,19766802.0,26.573,1.344,7.639,387.443,1.929,0.009,0.007,44.163,11.079,120.285
Colombia,1969,COL,20291937.0,28.016,1.381,5.432,415.459,1.944,0.009,0.007,44.845,11.383,121.783
Colombia,1970,COL,20811790.0,28.37,1.363,1.263,443.829,1.903,0.009,0.008,45.832,12.123,133.433
Colombia,1971,COL,21319099.0,30.282,1.42,6.739,474.111,1.984,0.009,0.008,47.49,12.27,132.013
Colombia,1972,COL,21819572.0,31.426,1.44,3.779,505.537,1.988,0.01,0.008,48.624,12.924,152.193
Colombia,1973,COL,22325375.0,33.632,1.506,7.02,539.169,2.044,0.01,0.008,49.305,13.094,147.196
Colombia,1974,COL,22833475.0,36.396,1.594,8.219,575.565,2.125,0.01,0.008,50.836,13.308,164.66
Colombia,1975,COL,23344650.0,35.811,1.534,-1.608,611.377,2.064,0.01,0.008,52.351,13.829,155.635
Colombia,1976,COL,23858815.0,37.983,1.592,6.064,649.359,2.128,0.01,0.008,53.797,14.524,162.258
Colombia,1977,COL,24393499.0,39.244,1.609,3.321,688.604,2.137,0.01,0.008,54.392,14.577,167.654
Colombia,1978,COL,24950342.0,41.539,1.665,5.847,730.143,2.197,0.01,0.008,55.459,14.805,176.187
