country,year,iso_code,population,co2,co2_per_capita,co2_growth_prct,cumulative_co2,ghg_excluding_lucf_per_capita,temperature_change_from_ghg,temperature_change_from_co2,methane,nitrous_oxide,primary_energy_consumption
South America,1995,,322239766.0,689.658,2.141,5.191,18838.002,2.971,0.096,0.064,777.195,212.844,4288.042
South America,1996,,327454409.0,719.899,2.199,4.385,19557.9,3.036,0.098,0.065,766.489,209.146,4471.074
South America,1997,,332642670.0,766.825,2.306,6.519,20324.725,3.166,0.1,0.066,784.11,212.496,4710.066
South America,1998,,337868219.0,791.081,2.342,3.163,21115.805,3.217,0.102,0.068,790.134,224.407,4847.86
South America,1999,,343039488.0,812.94,2.371,2.763,21928.746,3.241,0.105,0.069,796.59,225.928,4852.017
South America,2000,,348018743.0,812.035,2.334,-0.111,22740.781,3.203,0.107,0.071,805.284,226.867,4987.808
South America,2001,,352811861.0,791.451,2.244,-2.535,23532.232,3.093,0.108,0.072,819.616,232.568,4943.043
South America,2002,,357458493.0,819.743,2.294,3.575,24351.975,3.123,0.111,0.074,841.282,238.815,4978.718
South America,2003,,361970820.0,820.544,2.268,0.098,25172.52,3.109,0.113,0.076,873.778,249.673,4995.902
South America,2004,,366372166.0,857.033,2.341,4.447,26029.551,3.205,0.116,0.077,903.497,260.534,5292.898
South America,2005,,370696350.0,881.901,2.38,2.902,26911.453,3.227,0.118,0.079,908.744,260.365,5460.805
South America,2006,,374925352.0,909.778,2.428,3.161,27821.23,3.273,0.12,0.08,907.771,258.858,5732.889
South America,2007,,379035651.0,944.883,2.494,3.859,28766.113,3.336,0.122,0.082,908.025,277.465,6025.527
South America,2008,,383025009.0,988.743,2.583,4.642,29754.855,3.417,0.124,0.083,907.058,268.718,6235.885
South America,2009,,386904378.0,961.341,2.486,-2.771,30716.197,3.286,0.126,0.084,900.025,258.1,6192.379
South America,2010,,390701117.0,1072.125,2.746,11.524,31788.322,3.565,0.128,0.086,910.915,281.262,6511.888
South America,2011,,394477912.0,1088.221,2.76,1.501,32876.543,3.575,0.13,0.087,908.57,277.606,6806.542
South America,2012,,398255319.0,1142.114,2.87,4.952,34018.66,3.689,0.132,0.088,916.986,279.942,7048.7
South America,2013,,402022546.0,1205.618,3.001,5.56,35224.277,3.829,0.134,0.09,920.395,281.123,7236.995
South America,2014,,405812435.0,1221.043,3.011,1.279,36445.32,3.841,0.136,0.091,927.97,287.649,7300.901
South America,2015,,409619969.0,1186.978,2.9,-2.79,37632.301,3.73,0.138,0.093,931.383,284.339,7249.083
South America,2016,,413395039.0,1142.483,2.765,-3.749,38774.781,3.584,0.139,0.094,934.957,287.254,7191.099
South America,2017,,417045362.0,1125.792,2.701,-1.461,39900.574,3.511,0.141,0.095,936.034,299.319,7223.7
South America,2018,,420440405.0,1082.037,2.575,-3.887,40982.609,3.376,0.143,0.096,930.9,291.994,7141.376
South America,2019,,423548291.0,1094.835,2.587,1.183,42077.445,3.38,0.145,0.098,937.846,304.661,7093.475
South America,2020,,426213552.0,983.97,2.31,-10.126,43061.414,3.079,0.146,0.099,940.081,315.301,6567.752
South America,2021,,428331419.0,1110.535,2.594,12.863,44171.949,3.361,0.148,0.1,947.972,321.932,7050.511
South America,2022,,430492816.0,1100.028,2.557,-0.946,45271.977,3.341,0.15,0.101,973.444,327.618,7417.202
South America,2023,,433024223.0,1107.388,2.559,0.669,46379.363,3.348,0.152,0.103,974.727,330.789,7615.986
South America,2024,,435611337.0,1109.841,2.55,0.222,47489.207,3.332,0.154,0.104,987.268,339.433,7719.653
